@RELATION ball
 
@ATTRIBUTE whitepixels NUMERIC
@ATTRIBUTE blobcount NUMERIC
@ATTRIBUTE cornercount NUMERIC
@ATTRIBUTE class {ball, empty, error}
 
@DATA
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
3947,1,238,ball
